iter	Passed	Remaining
734	1369	493
735	1371	492
736	1373	490
737	1375	488
738	1377	486
739	1378	484
740	1380	482
741	1381	480
742	1383	478
743	1385	476
744	1386	474
745	1388	472
746	1390	470
747	1392	468
748	1393	466
749	1395	465
750	1396	463
751	1398	461
752	1399	459
753	1401	457
754	1403	455
755	1404	453
756	1406	451
757	1407	449
758	1409	447
759	1411	445
760	1412	443
761	1414	441
762	1416	439
763	1417	437
764	1419	435
765	1420	433
766	1422	432
767	1423	430
768	1425	428
769	1426	426
770	1428	424
771	1430	422
772	1431	420
773	1433	418
774	1435	416
775	1436	414
776	1438	412
777	1439	410
778	1441	408
779	1443	407
780	1444	405
781	1446	403
782	1448	401
783	1449	399
784	1451	397
785	1453	395
786	1454	393
787	1456	391
788	1458	390
789	1459	388
790	1461	386
791	1462	384
792	1464	382
793	1465	380
794	1467	378
795	1469	376
796	1470	374
797	1472	372
798	1474	370
799	1475	368
800	1477	367
801	1478	365
802	1480	363
803	1482	361
804	1483	359
805	1485	357
806	1487	355
807	1488	353
808	1490	351
809	1492	350
810	1493	348
811	1496	346
812	1498	344
813	1500	342
814	1501	340
815	1504	339
816	1505	337
817	1507	335
818	1508	333
819	1510	331
820	1512	329
821	1513	327
822	1515	325
823	1516	324
824	1518	322
825	1520	320
826	1522	318
827	1524	316
828	1526	314
829	1528	313
830	1529	311
831	1531	309
832	1533	307
833	1535	305
834	1536	303
835	1538	301
836	1540	299
837	1542	298
838	1543	296
839	1545	294
840	1547	292
841	1549	290
842	1551	288
843	1552	287
844	1554	285
845	1556	283
846	1557	281
847	1559	279
848	1561	277
849	1562	275
850	1564	273
851	1566	272
852	1568	270
853	1569	268
854	1571	266
855	1572	264
856	1574	262
857	1576	260
858	1577	258
859	1579	257
860	1580	255
861	1582	253
862	1583	251
863	1585	249
864	1587	247
865	1588	245
866	1590	243
867	1591	242
868	1593	240
869	1594	238
870	1596	236
871	1597	234
872	1599	232
873	1600	230
874	1602	228
875	1604	227
876	1605	225
877	1607	223
878	1608	221
879	1610	219
880	1611	217
881	1613	215
882	1615	214
883	1617	212
884	1618	210
885	1620	208
886	1621	206
887	1623	204
888	1625	202
889	1626	201
890	1628	199
891	1630	197
892	1631	195
893	1633	193
894	1635	191
895	1636	189
896	1638	188
897	1640	186
898	1641	184
899	1643	182
900	1644	180
901	1646	178
902	1647	177
903	1649	175
904	1650	173
905	1652	171
906	1654	169
907	1655	167
908	1657	165
909	1659	164
910	1661	162
911	1663	160
912	1664	158
913	1666	156
914	1668	154
915	1669	153
916	1671	151
917	1672	149
918	1674	147
919	1676	145
920	1677	143
921	1679	142
922	1680	140
923	1682	138
924	1684	136
925	1686	134
926	1687	132
927	1689	131
928	1691	129
929	1692	127
930	1694	125
931	1696	123
932	1699	122
933	1700	120
934	1702	118
935	1703	116
936	1705	114
937	1706	112
938	1708	110
939	1710	109
940	1712	107
941	1714	105
942	1715	103
943	1717	101
944	1719	100
945	1720	98
946	1722	96
947	1724	94
948	1725	92
949	1727	90
950	1729	89
951	1730	87
952	1732	85
953	1734	83
954	1735	81
955	1737	79
956	1739	78
957	1741	76
958	1742	74
959	1744	72
960	1745	70
961	1747	69
962	1749	67
963	1750	65
964	1752	63
965	1754	61
966	1755	59
967	1757	58
968	1759	56
969	1760	54
970	1762	52
971	1764	50
972	1766	49
973	1767	47
974	1769	45
975	1771	43
976	1772	41
977	1774	39
978	1776	38
979	1778	36
980	1779	34
981	1781	32
982	1783	30
983	1784	29
984	1786	27
985	1787	25
986	1789	23
987	1791	21
988	1792	19
989	1794	18
990	1795	16
991	1797	14
992	1798	12
993	1800	10
994	1801	9
995	1803	7
996	1805	5
997	1807	3
998	1808	1
999	1810	0
